Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
7735333,"Matched (Matched, #1)",Ally Condie,"Condie, Ally",,"=""0525423648""","=""9780525423645""",2,3.63,Dutton Books for Young Readers,Hardcover,369,2010,2010,,2021/11/14,,,read,,,,1,0
3236307,"Graceling (Graceling Realm, #1)",Kristin Cashore,"Cashore, Kristin",,"=""""","=""9780152063962""",3,4.07,Harcourt,Hardcover,471,2008,2008,,2021/11/14,,,read,,,,1,0
11127,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S. Lewis,"Lewis, C.S.",Pauline Baynes,"=""0066238501""","=""9780066238500""",3,4.27,HarperCollins,Paperback,767,2014,1956,,2021/11/14,,,read,,,,1,0
20349441,"SAMPLER ONLY: Catching Fire (The Hunger Games, #2)",Suzanne Collins,"Collins, Suzanne",,"=""""","=""""",3,4.49,Scholastic,Kindle Edition,26,2012,,,2021/11/14,,,read,,,,1,0
8519822,"The Enchantress (The Secrets of the Immortal Nicholas Flamel, #6)",Michael Scott,"Scott, Michael",,"=""0385735359""","=""9780385735353""",2,4.24,Delacorte Press,Hardcover,513,2012,2012,,2021/11/14,,,read,,,,1,0
23587931,NOT A BOOK,Forest Fay,"Fay, Forest",,"=""""","=""""",3,4.60,,Kindle Edition,9,2014,2014,,2021/11/14,,,read,,,,1,0
8458018,"The Warlock (The Secrets of the Immortal Nicholas Flamel, #5)",Michael Scott,"Scott, Michael",,"=""0385735332""","=""9780385735339""",2,4.18,Delacorte Press,Hardcover,400,2011,2011,,2021/11/14,,,read,,,,1,0
355917,"Flyte (Septimus Heap, #2)",Angie Sage,"Sage, Angie",Mark Zug,"=""0060577363""","=""9780060577360""",3,4.01,HarperCollins Publishers,Paperback,521,2007,2006,,2021/11/14,,,read,,,,1,0
9067850,"The Throne of Fire (The Kane Chronicles, #2)",Rick Riordan,"Riordan, Rick",,"=""1423140567""","=""9781423140566""",4,4.19,Hyperion Books for Children,Hardcover,452,2011,2011,,2021/11/14,,,read,,,,1,0
12893742,"The Serpent's Shadow (The Kane Chronicles, #3)",Rick Riordan,"Riordan, Rick",,"=""1423140575""","=""9781423140573""",4,4.29,Hyperion Books,Hardcover,406,2012,2012,,2021/11/14,,,read,,,,1,0
7182899,"Into the Gauntlet (The 39 Clues, #10)",Margaret Peterson Haddix,"Haddix, Margaret Peterson",,"=""0545060508""","=""9780545060509""",3,3.97,Scholastic Inc.,Hardcover,327,2010,2010,,2021/11/14,,,read,,,,1,0
4588949,"The Sorceress (The Secrets of the Immortal Nicholas Flamel, #3)",Michael Scott,"Scott, Michael",,"=""0385735294""","=""9780385735292""",2,4.11,Delacorte Press,Hardcover,502,2009,2009,,2021/11/14,,,read,,,,1,0
6693332,"The Necromancer  (The Secrets of the Immortal Nicholas Flamel, #4)",Michael Scott,"Scott, Michael",,"=""0385905165""","=""9780385905169""",2,4.13,Delacorte Books for Young Readers,Hardcover,416,2010,2010,,2021/11/14,,,read,,,,1,0
2402971,"The Magician (The Secrets of the Immortal Nicholas Flamel, #2)",Michael Scott,"Scott, Michael",,"=""0385733585""","=""9780385733588""",3,4.10,Delacorte Press,Hardcover,464,2008,2008,,2021/11/14,,,read,,,,1,0
17402605,"The Alchemyst (The Secrets of the Immortal Nicholas Flamel, #1)",Michael Scott,"Scott, Michael",,"=""0552562521""","=""9780552562522""",4,3.86,Corgi Childrens,Paperback,390,2010,2007,,2021/11/14,,,read,,,,1,0
769483,"Magyk (Septimus Heap, #1)",Angie Sage,"Sage, Angie",Mark Zug,"=""0060577312""","=""9780060577315""",3,3.84,"Katherine Tegen, Harper Collins",Hardcover,564,2005,2005,,2021/11/14,,,read,,,,1,0
60400,"The Ruins of Gorlan (Ranger's Apprentice, #1)",John Flanagan,"Flanagan, John",,"=""0142406635""","=""9780142406632""",4,4.24,Puffin Books,Paperback,249,2006,2004,,2021/11/14,,,read,,,,1,0
2248573,"Brisingr (The Inheritance Cycle, #3)",Christopher Paolini,"Paolini, Christopher",,"=""0375826726""","=""9780375826726""",5,4.07,Alfred A. Knopf,Hardcover,748,2008,2008,,2021/11/14,,,read,,,,1,0
45978,"Eldest (The Inheritance Cycle, #2)",Christopher Paolini,"Paolini, Christopher",Ieva Venskevičiūtė,"=""0375840400""","=""9780375840401""",5,4.01,Knopf Books for Young Readers,Paperback,704,2007,2005,,2021/11/14,,,read,,,,1,0
1317181,"Harry Potter and the Order of the Phoenix (Harry Potter, #5, Part 1)",J.K. Rowling,"Rowling, J.K.",,"=""185549664X""","=""9781855496644""",3,4.61,BBC Audiobooks,Audiobook,412,2003,2003,,2021/11/14,,,read,,,,1,0
249747,"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,"Colfer, Eoin",,"=""""","=""""",3,3.86,Disney-Hyperion,Paperback,396,2003,2001,,2021/11/14,,,read,,,,1,0
9917879,"The Unwanteds (Unwanteds, #1)",Lisa McMann,"McMann, Lisa",,"=""1442407689""","=""9781442407688""",5,4.12,Aladdin,Hardcover,390,2011,2011,,2021/11/14,,,read,,,,1,0
4948,The Very Hungry Caterpillar,Eric Carle,"Carle, Eric",,"=""0241003008""","=""9780241003008""",5,4.31,Puffin Books,Board book,26,1994,1969,,2021/11/14,,,read,,,,1,0
370493,The Giving Tree,Shel Silverstein,"Silverstein, Shel",,"=""0060256656""","=""9780060256654""",3,4.37,HarperCollins Publishers,Hardcover,64,1964,1964,,2021/11/14,,,read,,,,1,0
30119,Where the Sidewalk Ends,Shel Silverstein,"Silverstein, Shel",,"=""0060513039""","=""9780060513030""",5,4.32,Harpercollins Childrens Books,Hardcover,176,2002,1974,,2021/11/14,,,read,,,,1,0
6689,James and the Giant Peach,Roald Dahl,"Dahl, Roald",Quentin Blake,"=""0375814248""","=""9780375814242""",3,4.02,Alfred A. Knopf ,Hardcover,146,2002,1961,,2021/11/14,,,read,,,,1,0
7090447,"The Red Pyramid (The Kane Chronicles, #1)",Rick Riordan,"Riordan, Rick",,"=""1423113381""","=""9781423113386""",4,4.10,Disney-Hyperion,Hardcover,528,2010,2010,,2021/11/14,,,read,,,,1,0
30118,A Light in the Attic,Shel Silverstein,"Silverstein, Shel",,"=""0060513063""","=""9780060513061""",5,4.35,Harpercollins Childrens Books,Hardcover,176,2002,1981,,2021/11/14,,,read,,,,1,0
6319,The BFG,Roald Dahl,"Dahl, Roald",Quentin Blake,"=""0141311371""","=""9780141311371""",3,4.22,Puffin Books,Paperback,199,2001,1982,,2021/11/14,,,read,,,,1,0
378,The Phantom Tollbooth,Norton Juster,"Juster, Norton",Jules Feiffer,"=""0394820371""","=""9780394820378""",4,4.19,Random House Bullseye Books,Paperback,248,1996,1961,,2021/11/14,,,read,,,,1,0
7736086,"The Lightning Thief: The Graphic Novel (Percy Jackson and the Olympians: The Graphic Novels, #1)",Robert Venditti,"Venditti, Robert","Rick Riordan, José Villarrubia, Attila Futaki","=""1423116968""","=""9781423116967""",5,4.37,Disney-Hyperion,Hardcover,135,2010,2010,,2021/11/14,,,read,,,,1,0
11387515,"Wonder (Wonder, #1)",R.J. Palacio,"Palacio, R.J.",,"=""""","=""""",3,4.39,Alfred A. Knopf,Hardcover,315,2012,2012,,2021/11/14,,,read,,,,1,0
7736182,"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,"Riordan, Rick",,"=""142311339X""","=""9781423113393""",5,4.32,Disney-Hyperion Books,Hardcover,553,2010,2010,,2021/11/14,,,read,,,,1,0
4556058,"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,"Riordan, Rick",,"=""1423101472""","=""9781423101475""",5,4.53,Disney-Hyperion Books,Hardcover,381,2009,2009,,2021/11/14,,,read,,,,1,0
561456,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,"Riordan, Rick",,"=""0141382899""","=""9780141382890""",5,4.36,Puffin Books,Paperback,320,2007,2007,,2021/11/14,,,read,,,,1,0
2120932,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,"Riordan, Rick",,"=""""","=""""",5,4.41,Hyperion Books for Children,Hardcover,361,2008,2008,,2021/11/14,,,read,,,,1,0
7631105,"The Scorch Trials (The Maze Runner, #2)",James Dashner,"Dashner, James",,"=""0385738757""","=""9780385738750""",3,3.90,Delacorte Press,Hardcover,362,2010,2010,,2021/11/14,,,read,,,,1,0
28186,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,"Riordan, Rick",,"=""0786856866""","=""9780786856862""",5,4.24,Hyperion Books,Hardcover,279,2006,2006,,2021/11/14,,,read,,,,1,0
7260188,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"Collins, Suzanne",,"=""0439023513""","=""9780439023511""",3,4.06,Scholastic Press,Hardcover,398,2010,2010,,2021/11/14,,,read,,,,1,0
6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"Collins, Suzanne",,"=""0439023491""","=""9780439023498""",3,4.30,Scholastic Press,Hardcover,391,2009,2009,,2021/11/14,,,read,,,,1,0
890,Of Mice and Men,John Steinbeck,"Steinbeck, John",,"=""0142000671""","=""9780142000670""",3,3.88,Penguin Books,Paperback,112,2002,1937,,2021/11/14,,,read,,,,1,0
6186357,"The Maze Runner (The Maze Runner, #1)",James Dashner,"Dashner, James",,"=""0385737947""","=""9780385737944""",3,4.04,Delacorte Press,Hardcover,384,2009,2009,,2021/11/14,,,read,,,,1,0
9969571,"Ready Player One (Ready Player One, #1)",Ernest Cline,"Cline, Ernest",,"=""030788743X""","=""9780307887436""",4,4.24,Crown Publishers,Hardcover,374,2011,2011,,2021/11/14,,,read,,,,1,0
3636,"The Giver (The Giver, #1)",Lois Lowry,"Lowry, Lois",,"=""0385732554""","=""9780385732550""",5,4.13,Ember,Paperback,208,2006,1993,,2021/11/14,,,read,,,,1,0
375802,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,"Card, Orson Scott",,"=""0812550706""","=""9780812550702""",3,4.31,Tor,Mass Market Paperback,324,2004,1985,,2021/11/14,,,read,,,,1,0
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""043965548X""","=""9780439655484""",4,4.58,Scholastic Inc.,Mass Market Paperback,435,2004,1999,,2021/11/14,,,read,,,,1,0
13335037,"Divergent (Divergent, #1)",Veronica Roth,"Roth, Veronica",,"=""0062024035""","=""9780062024039""",2,4.16,Katherine Tegen Books,Paperback,487,2012,2011,,2021/11/14,,,read,,,,1,0
5907,The Hobbit,J.R.R. Tolkien,"Tolkien, J.R.R.","Douglas A. Anderson, Michael Hague, Jemima Catlin","=""""","=""""",4,4.28,Houghton Mifflin,Paperback,366,2002,1937,,2021/11/14,,,read,,,,1,0
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",4,4.47,Scholastic Inc,Hardcover,309,2003,1997,,2021/11/14,,,read,,,,1,0
