Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
58293924,"Book of Night (Book of Night, #1)",Holly Black,"Black, Holly",,"=""1250812194""","=""9781250812193""",4,3.56,Tor Books,Hardcover,304,2022,2022,,2022/11/11,,,read,Interesting to see Black write about an adult and not a teen,,,1,0
52397,"Parable of the Sower (Earthseed, #1)",Octavia E. Butler,"Butler, Octavia E.",,"=""0446675504""","=""9780446675505""",3,4.21,Grand Central Publishing,Paperback,345,2000,1993,,2022/11/11,,,read,"Good science fiction book, a bit brutal at times, but I can see why<br/>Gives me a bit of a religious crisis",,,1,0
57190453,"Foul Lady Fortune (Foul Lady Fortune, #1)",Chloe Gong,"Gong, Chloe",,"=""""","=""""",4,4.42,Margaret K. McElderry Books,Kindle Edition,528,2022,2022,,2022/11/11,,,read,"Pretty good read, a bit tropey at times",,,1,0
