Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
26535513,Storytelling with Data: A Data Visualization Guide for Business Professionals,Cole Nussbaumer Knaflic,"Knaflic, Cole Nussbaumer",,1119002257,9781119002253,0,4.39,Wiley,Paperback,288,2015,2015,,3/12/2022,to-read,to-read (#100),to-read,,,,0,0
29939161,Radical Candor: Be a Kickass Boss Without Losing Your Humanity,Kim Malone Scott,"Scott, Kim Malone",,1250103509,9781250103505,3,4.09,St. Martin's Press,Hardcover,336,2017,2017,3/12/2022,3/12/2022,,,read,,,,1,0
21031,When Nietzsche Wept,Irvin D. Yalom,"Yalom, Irvin D.",,0060748125,9780060748128,0,4.36,Harper Perennial,Paperback,310,2005,1992,,2/27/2022,to-read,to-read (#99),to-read,,,,0,0
150253,"If Not, Winter: Fragments of Sappho",Sappho,"Sappho, Sappho",Anne Carson,1844080811,9781844080816,0,4.43,Virago,Paperback,397,2003,-550,,2/26/2022,to-read,to-read (#98),to-read,,,,0,0
464260,The Fire Next Time,James Baldwin,"Baldwin, James",,067974472X,9780679744726,5,4.54,Vintage,Paperback,106,1993,1963,,8/24/2021,,,read,"it’s amazing how Baldwin managed to show that much strength, resilience, and empathy in the face of all the atrocities that happened. amazing read.",,,1,0
16124612,How Should One Read a Book?,Virginia Woolf,"Woolf, Virginia",,,,4,4.05,,,20,,1926,8/14/2021,12/20/2021,,,read,,,,1,0
16123315,Không Gia Đình,Hector Malot,"Malot, Hector",Huỳnh Lý,,9786049637483,4,4.38,NXB Văn Học,Paperback,574,2009,1878,,9/10/2020,,,read,,,,1,0
22291538,Hà Nội Băm Sáu Phố Phường,Thạch Lam,"Lam, Thạch",,,,5,4.01,Nxb. Hội Nhà Văn & Nhã Nam,Paperback,130,2014,1943,,1/9/2022,,,read,,,,1,0
424,Slouching Towards Bethlehem,Joan Didion,"Didion, Joan",,,,5,4.19,Farrar Straus Giroux,Paperback,238,2008,1968,,12/9/2021,,,read,the type of writing i want to create,,,1,0
20696000,The Hundred-Year Marathon: China's Secret Strategy to Replace America as the Global Superpower,Michael Pillsbury,"Pillsbury, Michael",,1627790101,9781627790109,3,4.22,Henry Holt and Co.,Hardcover,336,2015,2014,2/16/2022,2/16/2022,,,read,"this book essentially offers a bird eye’s view of china’s national strategy, which is good. i appreciate the author’s effort to understand the subject’s culture and references a lot. however, what keeps me from totally endorse it is its rather biased tone: how it maintains this rosy view of the us’s moral ground and its innocuous intentions. a good introduction though.",,,1,0
55539565,Think Again: The Power of Knowing What You Don't Know,Adam M. Grant,"Grant, Adam M.",,1984878107,9781984878106,0,4.24,Viking Books,Hardcover,307,2021,2021,,2/10/2022,to-read,to-read (#97),to-read,,,,0,0
